,name,teff,fe,obs,bc,ha,jd,obs.1,type,run,number,obstime,gaidos_name,tycho_name,VTmag,e_VTmag,BTmag,e_BTmag,Vmag,e_Vmag,2mass_name,K_2mass_mag,e_K_2mass_mag,J_2mass_mag,e_J_2mass_mag,Kmag,e_Kmag,V-K,e_V-K,teff_derived,e_teff_derived,Plx,e_Plx,abs_Vmag,e_abs_Vmag,abs_Kmag,e_abs_Kmag,radius,u_radius,logg,u_logg,age,u_age,mass,u_mass
85,   HIP 99332 ,4400,0.3,rj59.394,-19750.5214844,1.07400000095,14718.847656200001,rj59.394,t,j59,394,2008-09-09 08:20,   HIP 99332 ,TYC 5165-1867-1,9.72700023651123,0.027000000700354576,11.210000038146973,0.059999998658895486,9.585625370557413,0.05336622050616889,2MASS J20094103-0307443,6.742000102996826,0.026000000536441803,7.439000129699707,0.026000000536441803,6.77203231685663,0.03733189851361292,2.8135930537007825,0.09069811901978182,4399.5213381180965,99.4156763476602,31.31999969482422,1.7400000095367432,7.064734116328551,0.4711935187690616,4.251141062627768,0.4551591967765056,0.7,0.04,4.62,0.03,9.76,0.49,0.73,0.05
84,   HIP 99205 ,4397,-0.18,rj59.395,-17801.4277344,1.15199995041,14718.8505859,rj59.395,t,j59,395,2008-09-09 08:24,   HIP 99205 ,TYC  507-1725-1,9.982999801635742,0.032000001519918435,11.329999923706055,0.06400000303983687,9.8549871695753,0.06109376290179789,2MASS J20082437+0640435,6.929999828338622,0.020999999716877937,7.650000095367432,0.020999999716877937,6.95948205578423,0.0324585868570632,2.8955051137910712,0.09355234975886108,4337.714640417667,106.00564918633414,36.4900016784668,2.009999990463257,7.6658565862819135,0.4570968250881728,4.7703514724908445,0.4284616490434381,0.65,0.04,4.65,0.03,9.63,0.5,0.68,0.05
82,   HIP 93871 ,4453,-0.47,rj59.396,-22095.7460938,2.2300000190700002,14718.8525391,rj59.396,t,j59,396,2008-09-09 08:27,   HIP 93871 ,TYC 1040-324-1,9.352999687194824,0.019999999552965164,10.605999946594238,0.039000000804662704,9.233645076467363,0.03788053966134786,2MASS J19070204+0736576,6.4689998626708975,0.017999999225139618,7.151999950408936,0.019999999552965164,6.499574491759772,0.02907981723397752,2.734070584707591,0.06696035689532538,4461.763239311213,129.27377488934422,41.18999862670898,1.3400000333786009,7.307603963851696,0.26319968585011505,4.573533379144104,0.2543989634227447,0.68,0.04,4.63,0.03,9.64,0.5,0.71,0.05
83,   HIP 97051 ,4320,-0.19,rj59.397,-18977.5292969,1.6779999733000002,14718.854492200002,rj59.397,t,j59,397,2008-09-09 08:30,   HIP 97051 ,TYC 1061-1929-1,10.121000289916992,0.02199999988079071,11.541999816894533,0.04600000008940697,9.985855055388939,0.04260807987175882,2MASS J19432533+1005223,6.841000080108643,0.020999999716877937,7.619999885559082,0.024000000208616257,6.8689928276328125,0.03263404462599378,3.1168622277561244,0.0752421244977526,4181.579516680449,170.11529483212234,44.18000030517578,1.8600000143051147,8.211983628065585,0.3277914403219939,5.095121400309461,0.31781740507622896,0.61,0.04,4.67,0.03,9.64,0.51,0.63,0.05
89,  HIP 104092 ,4455,0.07,rj59.402,-12330.2197266,0.48600000143100003,14718.862304700002,rj59.402,t,j59,402,2008-09-09 08:41,  HIP 104092 ,TYC  538-1647-1,8.491000175476074,0.01899999938905239,9.852999687194824,0.035999998450279236,8.361566268615906,0.03566829873424024,2MASS J21051974+0704092,5.306000232696533,0.024000000208616257,6.039999961853027,0.023000000044703484,5.334576307781635,0.035377556468187576,3.026989960834271,0.07104585520242783,4243.134322797268,163.71992399079105,67.37999725341797,1.350000023841858,7.504221213326613,0.15302383875527248,4.477231252492342,0.1527330964892198,0.66,0.03,4.64,0.03,9.65,0.5,0.7,0.05
90,  HIP 105341 ,4299,-0.05,rj59.403,-15447.817382799998,0.284999996424,14718.864257799998,rj59.403,t,j59,403,2008-09-09 08:44,  HIP 105341 ,TYC 6368-1244-1,9.23900032043457,0.017999999225139618,10.805999755859377,0.0430000014603138,9.088762638081349,0.03648665943287313,2MASS J21201384-1951070,5.7210001945495605,0.017999999225139618,6.540999889373777,0.019999999552965164,5.747463593295902,0.029772718795426437,3.341299044785445,0.06625937822829958,4037.828638130828,221.29641170128414,61.040000915527344,1.309999942779541,8.01683529538497,0.16679832968500105,4.675536250599526,0.16008438904755434,0.63,0.04,4.66,0.03,9.63,0.51,0.65,0.04
80,   HIP 87464 ,4417,-0.27,rj59.679,-28263.71875,1.8070000410099998,14719.7802734,rj59.679,t,j59,679,2008-09-10 06:43,   HIP 87464 ,TYC 5661-231-1,10.16800022125244,0.039000000804662704,11.57800006866455,0.07699999958276749,10.033935046604924,0.0741549609220773,2MASS J17521661-0733376,6.9720001220703125,0.024000000208616257,7.735000133514402,0.020999999716877937,7.000561010441219,0.035795510793506534,3.033374036163705,0.10995047171558382,4238.681252035237,97.98502509617394,32.40999984741211,1.940000057220459,7.587330191542574,0.519894359654985,4.553956155378869,0.4815349095264143,0.66,0.04,4.64,0.03,9.68,0.5,0.68,0.05
94,  HIP 112918 ,4434,0.02,rj59.706,2655.97607422,-1.54700005054,14719.848632799998,rj59.706,t,j59,706,2008-09-10 08:22,  HIP 112918 ,TYC 2221-511-1,9.923999786376953,0.02800000086426735,11.371000289916992,0.059000000357627876,9.786272060065878,0.054366221234574914,2MASS J22520249+2324479,6.816999912261963,0.019999999552965164,7.544000148773192,0.023000000044703484,6.846177132034831,0.03144106654421594,2.940094928031047,0.08580728777879085,4305.016046512063,125.6729171883703,36.83000183105469,1.7200000286102295,7.617280762298211,0.3891656951479805,4.677185834267165,0.3662405404576216,0.66,0.04,4.65,0.03,9.65,0.5,0.69,0.05
81,   HIP 89087 ,4118,-0.01,rj59.721,-8334.54296875,4.17000007629,14719.8916016,rj59.721,t,j59,721,2008-09-10 09:23,   HIP 89087 ,TYC 3532-1672-1,10.154000282287598,0.032999999821186066,11.550999641418455,0.0689999982714653,10.021202386751828,0.063912119243145,2MASS J18105626+4958162,6.8379998207092285,0.016000000759959214,7.586999893188477,0.024000000208616257,6.865691509136091,0.02758985718044356,3.1555108776157383,0.09150197642358857,4155.839717982819,148.21664053059794,37.34000015258789,1.1200000047683716,7.88207396369073,0.2780477334690674,4.726563086074992,0.24172547140636605,0.64,0.04,4.66,0.03,9.65,0.5,0.66,0.05
88,  HIP 103650 ,4603,-0.04,rj59.724,5945.73681641,1.57000005245,14719.900390600002,rj59.724,t,j59,724,2008-09-10 09:36,  HIP 103650 ,TYC 4464-648-1,9.467000007629396,0.020999999716877937,10.843999862670898,0.04600000008940697,9.336132685213652,0.041305019658170634,2MASS J21000342+7040072,6.566999912261963,0.020999999716877937,7.242000102996826,0.020999999716877937,6.5975347113797485,0.032088280623789066,2.738597973833904,0.0733933002819597,4458.158784199013,118.85539331859293,38.86999893188477,0.8299999833106995,7.284205328699727,0.1918864384658148,4.545607354865824,0.18266969943143324,0.68,0.04,4.63,0.03,9.63,0.49,0.71,0.05
92,  HIP 110774 ,4471,-0.12,rj59.726,8017.51513672,0.238000005484,14719.9052734,rj59.726,t,j59,726,2008-09-10 09:43,  HIP 110774 ,TYC 4272-964-1,9.654999732971193,0.026000000536441803,11.036999702453613,0.05400000140070915,9.523651857487804,0.050244801123514767,2MASS J22263266+6352450,6.671999931335449,0.03099999949336052,7.385000228881836,0.03500000014901161,6.701991954227832,0.04244190595824317,2.8216599032599694,0.09268670708175794,4393.3322945345835,97.1230752586676,39.97000122070313,1.2799999713897705,7.532322665106142,0.2741352412766604,4.710662761846173,0.2663323461113888,0.66,0.04,4.64,0.03,9.63,0.49,0.69,0.05
95,  HIP 114156 ,4322,-0.02,rj59.1640,-6532.11914062,0.73299998045,14722.9453125,rj59.1640,t,j59,1640,2008-09-13 10:41,  HIP 114156 ,TYC 6972-529-1,9.722000122070312,0.028999999165534977,11.371000289916992,0.07100000232458115,9.562579299819607,0.05930599961712956,2MASS J23070705-2309335,6.421999931335449,0.017000000923871994,7.190999984741211,0.017999999225139618,6.450012574690273,0.02866178190146448,3.1125667251293367,0.08796778151859405,4184.466953929789,147.64327452416344,47.36000061035156,1.8799999952316284,7.939637796378754,0.32220992348588673,4.827071071249419,0.2915657057702217,0.63,0.04,4.66,0.03,9.62,0.51,0.66,0.05
101,  HIP 118261 ,4662,-0.04,rj59.1642,-1403.45898438,-0.0460000000894,14722.949218799999,rj59.1642,t,j59,1642,2008-09-13 10:46,  HIP 118261 ,TYC 6985-1016-1,8.821000099182129,0.0130000002682209,10.045000076293944,0.023000000044703484,8.704239763445448,0.02391016036305577,2MASS J23591371-2602554,6.113999843597412,0.023000000044703484,6.798999786376952,0.027000000700354576,6.1458059646280505,0.03403945697375608,2.558433798817397,0.057949617336811865,4607.525896335533,121.88040901707552,40.900001525878906,1.2599999904632568,6.7628563844944765,0.2377522793112917,4.204422585677079,0.2478815759219921,0.72,0.03,4.61,0.03,9.74,0.48,0.76,0.05
4,    HIP 4353 ,4587,0.17,rj59.1644,3500.61010742,-0.851000010967,14722.955078100002,rj59.1644,t,j59,1644,2008-09-13 10:55,    HIP 4353 ,TYC 6424-1799-1,9.588000297546387,0.02199999988079071,10.918999671936037,0.04600000008940697,9.461490997666077,0.04260807987175882,2MASS J00554926-2940336,6.571000099182129,0.019999999552965164,7.283999919891357,0.023000000044703484,6.600718332254367,0.03128636933550838,2.860772665411708,0.0738944492072672,4363.6428674211875,134.79174292847622,32.77000045776367,1.7100000381469729,7.038873234911223,0.4299341854609371,4.178100569499514,0.4186124749246867,0.7,0.04,4.62,0.03,9.73,0.5,0.73,0.05
2,    HIP 2247 ,4680,0.24,rj59.1645,4002.18603516,-0.33799999952299997,14722.958007799998,rj59.1645,t,j59,1645,2008-09-13 10:59,    HIP 2247 ,TYC 5840-482-1,9.696000099182127,0.023000000044703484,11.064000129699707,0.045000001788139336,9.565994258429068,0.04360808060016483,2MASS J00283433-1613343,6.914000034332275,0.024000000208616257,7.573999881744385,0.01899999938905239,6.94534521621215,0.0350497809931717,2.6206490422169177,0.07865786159333653,4554.5439870133205,94.30603850141158,26.63999938964844,1.399999976158142,6.6936653111695765,0.4573190637451156,4.073016268952657,0.4487607641381224,0.73,0.03,4.6,0.03,9.81,0.48,0.76,0.05
14,   HIP 12493 ,4350,-0.29,rj59.1982,20408.5136719,0.129999995232,14724.065429700002,rj59.1982,t,j59,1982,2008-09-14 13:34,   HIP 12493 ,TYC   47-611-1,9.673999786376953,0.023000000044703484,11.02400016784668,0.045000001788139336,9.545703807820944,0.04360808060016483,2MASS J02404288+0111554,6.5,0.017999999225139618,7.260000228881836,0.020999999716877937,6.528672233946133,0.02951619926247366,3.017031573874813,0.07312427986263849,4250.105678491916,158.67723334459504,44.84000015258789,1.4600000381469729,7.804031834825017,0.26311836838459435,4.7870002609502045,0.2490264870469032,0.64,0.04,4.65,0.03,9.64,0.5,0.67,0.05
98,  HIP 117492 ,4679,0.08,rj59.2270,8258.85742188,-22.3409996033,14725.0078125,rj59.2270,t,j59,2270,2008-09-15 12:11,  HIP 117492 ,TYC 2779-1178-1,9.498000144958496,0.024000000208616257,10.79800033569336,0.04600000008940697,9.374367467398947,0.04521420029893518,2MASS J23492893+3539509,6.631999969482423,0.023000000044703484,7.309000015258789,0.027000000700354576,6.6627254950511405,0.0341486076340544,2.711641972347807,0.07936280793298958,4479.730023090812,105.01577021490624,35.7400016784668,1.5,7.140140310226487,0.3488331210080681,4.428498337878684,0.3377675283431873,0.69,0.03,4.62,0.03,9.68,0.49,0.73,0.05
3,    HIP 3418 ,4546,0.02,rj59.2274,13267.9619141,0.922999978065,14725.0146484,rj59.2274,t,j59,2274,2008-09-15 12:21,    HIP 3418 ,TYC 2283-1056-1,8.878000259399414,0.014999999664723871,10.175999641418457,0.02800000086426735,8.754551689347322,0.02803157982503996,2MASS J00433289+3350412,5.938000202178955,0.016000000759959214,6.5920000076293945,0.017999999225139618,5.968179216235892,0.02684333552169104,2.7863724731114283,0.05487491534673099,4420.57362435174,157.0779598648178,48.15999984741211,1.0399999618530271,7.16798407371617,0.1702664239010802,4.3816116006047405,0.1690781795977313,0.69,0.04,4.63,0.03,9.67,0.49,0.72,0.05
15,   HIP 13375 ,4110,0.0,rj59.2281,23815.34375,-0.861999988556,14725.0302734,rj59.2281,t,j59,2281,2008-09-15 12:43,   HIP 13375 ,TYC 2334-540-1,9.730999946594238,0.032000001519918435,11.22599983215332,0.07100000232458115,9.588390009667604,0.06321518268503247,2MASS J02520697+3423236,6.297999858856201,0.019999999552965164,7.052999973297119,0.020999999716877937,6.324942091808032,0.031644965659297496,3.2634479178595734,0.09486014834433,4086.164779593224,159.55603697281475,70.19000244140625,1.6799999475479126,8.819766297258607,0.20128737526489354,5.556318379399032,0.16971715823915856,0.56,0.04,4.71,0.04,9.62,0.5,0.58,0.05
9,    HIP 6344 ,4383,-0.04,rj59.2284,13640.3056641,0.8199999928470001,14725.037109399998,rj59.2284,t,j59,2284,2008-09-15 12:53,    HIP 6344 ,TYC 4502-20-1,9.821999549865724,0.026000000536441803,11.31700038909912,0.06400000303983687,9.679389514390175,0.053275401620268815,2MASS J01213098+8009063,6.558000087738037,0.024000000208616257,7.324999809265138,0.029999999329447743,6.586145958350875,0.035678275630717536,3.093243556039302,0.08895367725098638,4197.522837592536,143.00084857849384,41.43999862670898,1.0499999523162842,7.7664881761150655,0.2284333725686017,4.6732446200757645,0.2108362465790504,0.65,0.04,4.65,0.03,9.65,0.5,0.67,0.04
40,   HIP 42567 ,4648,0.09,rj61.189,26611.8710938,-1.19900000095,14778.112304700002,rj61.189,t,j61,189,2008-11-07 14:41,   HIP 42567 ,TYC 2988-630-1,9.407999992370604,0.023000000044703484,10.670999526977539,0.045000001788139336,9.287743130828794,0.04360808060016483,2MASS J08403665+4306500,6.701000213623048,0.017000000923871994,7.369999885559082,0.019999999552965164,6.732814594511693,0.028040283031343424,2.5549285363170995,0.07164836363150827,4610.556288212727,97.95851312460873,32.290000915527344,1.3400000333786009,6.83308341748296,0.3529683773323332,4.27815488116586,0.33740057976351184,0.72,0.03,4.61,0.03,9.71,0.49,0.76,0.05
36,   HIP 40671 ,4612,0.06,rj61.190,28398.994140599996,-0.758000016212,14778.115234399998,rj61.190,t,j61,190,2008-11-07 14:45,   HIP 40671 ,TYC 2470-634-1,8.97599983215332,0.014000000432133676,10.263999938964844,0.027000000700354576,8.853468627175614,0.026425460775345563,2MASS J08181082+3036043,6.103000164031982,0.019999999552965164,6.776999950408936,0.019999999552965164,6.133665509437088,0.03096910527769428,2.7198031177385253,0.05739456605303984,4473.1710863120015,143.75994915314345,44.34000015258789,1.309999942779541,7.087447078540679,0.2263236973801009,4.367643960802154,0.23086734188244964,0.7,0.04,4.62,0.03,9.67,0.49,0.73,0.05
42,   HIP 43667 ,4554,0.01,rj61.192,28389.767578099996,-1.20200002193,14778.121093799999,rj61.192,t,j61,192,2008-11-07 14:54,   HIP 43667 ,TYC 2491-1077-1,9.281000137329102,0.020999999716877937,10.76200008392334,0.04600000008940697,9.139830141789325,0.041305019658170634,2MASS J08534726+3513197,6.486000061035156,0.020999999716877937,7.135000228881836,0.019999999552965164,6.517321032537787,0.03195387633714671,2.6225091092515367,0.07325889599531735,4552.983175574658,103.80006566763923,38.66999816894531,1.5,7.0767008993337335,0.3152821172881275,4.454191790082199,0.3059309739671036,0.7,0.04,4.62,0.03,9.65,0.49,0.73,0.05
7,    HIP 5247 ,4260,-0.22,rj61.408,404.33999633800005,0.873000025749,14778.8818359,rj61.408,t,j61,408,2008-11-08 09:09,    HIP 5247 ,TYC 4025-626-1,9.16100025177002,0.016000000759959214,10.654999732971193,0.03700000047683717,9.01849365786026,0.032062181134782736,2MASS J01070794+6356284,5.688000202178955,0.026000000536441803,6.4679999351501465,0.019999999552965164,5.714685344322923,0.037601127528705966,3.303808313537337,0.06966330866348873,4060.912322574595,209.29754792594073,66.45999908447266,1.2699999809265137,8.131295312660352,0.14456205909312153,4.8274869991230185,0.15010100548704478,0.62,0.04,4.67,0.03,9.62,0.5,0.64,0.04
29,   HIP 30979 ,4627,0.23,rj61.451,19480.359375,-1.0759999752,14779.0244141,rj61.451,t,j61,451,2008-11-08 12:35,   HIP 30979 ,TYC 5372-2047-1,9.237000465393066,0.016000000759959214,10.550999641418457,0.032000001519918435,9.112074430414928,0.030546881450898945,2MASS J06300731-1148321,6.406000137329103,0.017999999225139618,7.078999996185303,0.024000000208616257,6.436977408182483,0.028981034640206318,2.6750970222324435,0.05952791609110526,4509.402699030618,134.18039331867286,35.0,1.4900000095367432,6.832414652166305,0.34045239970846153,4.157317629933861,0.3388865528977689,0.72,0.03,4.61,0.03,9.75,0.49,0.75,0.05
32,   HIP 36551 ,4501,-0.3,rj61.466,27144.994140599996,-1.01900005341,14779.0693359,rj61.466,t,j61,466,2008-11-08 13:39,   HIP 36551 ,TYC  776-242-1,9.079999923706056,0.017999999225139618,10.435999870300293,0.035999998450279236,8.951135931931029,0.034365238520652056,2MASS J07310770+1436515,6.130000114440918,0.016000000759959214,6.835000038146973,0.019999999552965164,6.160199059819049,0.02715168001959871,2.790936872111982,0.061516918540250765,4417.025335388797,146.31787064250258,47.09000015258789,1.2799999713897705,7.315779391180965,0.2147274418504444,4.524842519068983,0.20751388334939105,0.68,0.04,4.63,0.03,9.65,0.5,0.71,0.05
12,   HIP 10416 ,4743,0.14,rj61.726,-8900.50195312,-0.190999999642,14779.880859399998,rj61.726,t,j61,726,2008-11-09 09:08,   HIP 10416 ,TYC 4693-252-1,8.670000076293945,0.016000000759959214,9.91100025177002,0.02800000086426735,8.551722918630494,0.029334641252197324,2MASS J02141357-0338063,6.014999866485598,0.019999999552965164,6.6599998474121085,0.023000000044703484,6.047142267831247,0.030844033215709967,2.5045806507992463,0.0601786744679073,4654.6270275976285,111.34971470829716,43.72999954223633,1.1799999475479126,6.7556202826239025,0.21271906471354504,4.251039631824658,0.21422845667705764,0.72,0.03,4.61,0.03,9.7,0.5,0.76,0.05
21,   HIP 17496 ,4489,-0.04,rj61.753,4331.03808594,0.9300000071529999,14779.990234399998,rj61.753,t,j61,753,2008-11-09 11:45,   HIP 17496 ,TYC  661-1291-1,9.270000457763672,0.020999999716877937,10.677000045776367,0.04399999976158142,9.136228626611144,0.040698899558819834,2MASS J03445108+1155118,6.203999996185303,0.017000000923871994,6.927000045776367,0.027000000700354576,6.233434250455152,0.028304106610447525,2.9027943761559927,0.06900300616926736,4332.324419460299,149.12368767340863,45.86999893188477,1.440000057220459,7.443872276706793,0.2507925065177505,4.5410779005508,0.2383977135693781,0.67,0.04,4.64,0.03,9.66,0.5,0.7,0.05
20,   HIP 17346 ,4613,0.07,rj61.763,-1134.7869873,1.6679999828299998,14780.019531200001,rj61.763,t,j61,763,2008-11-09 12:28,   HIP 17346 ,TYC 6447-596-1,9.319000244140623,0.017000000923871994,10.651000022888184,0.03400000184774399,9.192397331457205,0.03245606176383793,2MASS J03424468-2427582,6.441999912261963,0.019999999552965164,7.133999824523926,0.027000000700354576,6.472684198983949,0.03111129898694058,2.7197131324732533,0.06356736075077851,4473.2432721796,133.16714323306027,38.560001373291016,1.4199999570846558,7.12308253494684,0.2927886953258237,4.4033694024735865,0.2914439325489264,0.69,0.04,4.62,0.03,9.68,0.5,0.73,0.05
